,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
BWM_far_posterior:330_390,0.0814877052299127,0.04663098215224,0.0164509060777084,0.0038200334431597,0.0163845713731223,0.0239462243977231,0.0194896193736795,0.0252517799644631,0.0052157800498224,0.038693566681175,0.0108080271636085,0.0152429903644563,0.0174115010486721,0.0035076865716412,0.0036710571718586,0.0149702027325469
BWM_far_posterior:390_450,0.0835106254996487,0.0415220552193159,0.0108646465041018,0.0034036270388263,0.0138982024673351,0.0254197351978365,0.0177529417177318,0.0210066678230549,0.0043206502781019,0.0449806492895008,0.0086643544942645,0.0120544914557978,0.0309402976494949,0.0021670701776975,0.0027348614906313,0.0085832126860686
BWM_far_posterior:450_510,0.0827819805936476,0.0366495853382294,0.0079088803073227,0.0023774344927188,0.0165533906655465,0.0265561036417418,0.0154099064981326,0.0240184119306406,0.0034747274669173,0.0482580978305267,0.0420553669022955,0.0124360206589607,0.0325411913495392,0.0019647393777905,0.0034553634732549,0.0068349854921328
BWM_far_posterior:510_580,0.0691887900674869,0.0388669942256835,0.0069072007276388,0.0022172524544136,0.0203568711935444,0.0235400885037318,0.0144951448542139,0.0331255956884562,0.0040269299293124,0.0469656225089967,0.1071645685265821,0.0115427584034485,0.0340463869754269,0.0015457260840896,0.0037194255461595,0.0059808387090893
BWM_far_posterior:580_650,0.0686457908813751,0.0387183117325622,0.0061507383376182,0.0020587491575405,0.0186799751468141,0.0236782472065978,0.0160068809879404,0.0338180271437442,0.0044289729516114,0.0425864886210025,0.1096981884667532,0.0103679449780105,0.0370867393596032,0.0023228496862072,0.0036129843116795,0.0059914074705728
BWM_far_posterior:gt_650,0.0677519295244834,0.0380709867026714,0.0074017508527881,0.0022264992356551,0.0170342608249731,0.0211784177250111,0.0157691767794954,0.0366808446416342,0.0042221533428321,0.0394146757457636,0.1056687490060271,0.0112543085681273,0.0409161833389049,0.0017703873978845,0.0041817858730895,0.0082652901427101
BWM_head_row_1:270_330,0.0732760476965003,0.0569360357006665,0.0181979845103064,0.0052912176759731,0.0200668494920227,0.0301510553237488,0.0217594178742765,0.0345247843467984,0.0068327035033099,0.0424054843975996,0.0152490507164369,0.0181563309087171,0.015745061400737,0.0041172517619322,0.0051501198826961,0.0184891562967184
BWM_head_row_1:330_390,0.0728488412447305,0.0556145557459521,0.0154940362108263,0.0045036849151781,0.0178263714668927,0.0264545976483464,0.0241725139711425,0.0261317237314636,0.0060589762960995,0.056558302463551,0.0114652838823025,0.0190966029932689,0.0200930085509932,0.0032530123865628,0.0044753995953393,0.014739761015126
BWM_head_row_1:390_450,0.0731094593032402,0.0544828563244314,0.011664900214591,0.0041270911051125,0.0168876561545473,0.0247935276367116,0.0234203371555606,0.0245899954611322,0.0058618269188447,0.0598621214890573,0.0094480036952619,0.0229070951817717,0.0272311011602035,0.0025454556027645,0.0046104549565749,0.0125437982693348
BWM_head_row_1:450_510,0.0708084949128447,0.0520933488254658,0.0098700653058988,0.003387223765517,0.01972297731823,0.0278082975998128,0.0231144141733953,0.0273738478077539,0.0057567857576705,0.0559832343106799,0.0101811317582597,0.0236363357314841,0.031637594843419,0.0024522187985853,0.0052311526682249,0.0114221875946377
